Instrument,Company Common Name,Country of Headquarters,Company Market Cap,Average Daily Value Traded - 52 Weeks
0931.HK,China HK Power Smart Energy Group Ltd,Hong Kong,3170164083.275,843377.450130081
7640.T,Top Culture Co Ltd,Japan,2513232000.0,9934836.32653061
9368.T,Kimura Unity Co Ltd,Japan,42802628400.0,48524589.3877551
OBL.AX,Omni Bridgeway Ltd,Australia,254291058.0,1041161.86501976
ABGA.OL,ABG Sundal Collier Holding ASA,Norway,3060862391.0,2293673.51386454
CEL.CN,Celsia SA,Colombia,4482426284440.0,930835735.386831
ELV.N,Elevance Health Inc,United States of America,123960069364.45,158556490.251634
IRE.AX,Iress Ltd,Australia,1604521581.66,5707250.09916996
HMPRO.BK,Home Product Center PCL,Thailand,134142219855.0,269243339.139344
8739.T,Sparx Group Co Ltd,Japan,75699356880.0,83203544.0816327
2721.T,J-Holdings Corp,Japan,1815620500.0,30893271.4285714
SAN.MC,Banco Santander SA,Spain,75561274172.2274,109450156.751333
2722.T,IK Holdings Co Ltd,Japan,3613980000.0,10035691.0204082
0690.HK,Uni-Bio Science Group Ltd,Hong Kong,468432699.172,415831.263373984
9543.T,Shizuoka Gas Co Ltd,Japan,72002337750.0,191681143.265306
SOY.TO,Sunopta Inc,United States of America,918942111.36,513221.822310757
TEAM.BK,Team Precision PCL,Thailand,2510029736.9,10425107.8401639
BIR.TO,Birchcliff Energy Ltd,Canada,1555066637.37,8960250.42816733
AGUASA.SN,Aguas Andinas SA,Chile,1627088796760.0,1782727277.2224
AMN.N,AMN Healthcare Services Inc,United States of America,2284300016.31,16419766.7813546
CAGR.PA,Credit Agricole SA,France,46599180216.0576,61380734.8020314
ATMP3.SA,ATMA Participacoes SA - em Recuperacao Judicial,Brazil,56625954.72,221302.951807229
MGA.TO,Mega Uranium Ltd,Canada,136062185.32,215952.115338645
FPH.NZ,Fisher & Paykel Healthcare Corporation Ltd,New Zealand,16760217275.2,10075685.38956
EXXJ.J,Exxaro Resources Ltd,South Africa,62235688241.64,11226369321.4921
INET.BK,Internet Thailand PCL,Thailand,2474778002.58,2474645.8647541
8308.T,Resona Holdings Inc,Japan,2252784467709.0,10402394037.7551
WW.OQ,WW International Inc,United States of America,149829130.08,8118656.71125498
8877.T,Eslead Corp,Japan,53047008000.0,117969011.020408
9377.T,AGP Corp,Japan,12172510000.0,15233642.0408163
7847.T,Graphite Design Inc,Japan,5105016000.0,11081806.5306122
2726.T,PAL Group Holdings Co Ltd,Japan,167782272000.0,1031497719.59184
JRS.N,Nuveen Real Estate Income Fund,United States of America,211781812.43,129764.250120319
BILL.ST,Billerud AB (publ),Sweden,23135373136.9368,56436758.5309921
AMX.V,Amex Exploration Inc,Canada,179288214.38,107218.793784861
ALAPH.L,Alliance Pharma PLC,United Kingdom,158710451.967089,59740736.0805447
6866.T,Hioki EE Corp,Japan,105603468450.0,445699485.714286
4324.T,Dentsu Group Inc,Japan,1147662423792.0,4103110598.36735
2935.T,Pickles Holdings Co Ltd,Japan,14992929380.0,28609128.9795918
4335.T,IPS Co Ltd,Japan,3139218000.0,15609755.9183673
4334.T,Yuke's Co Ltd,Japan,4793472000.0,291186528.163265
2801.HK,iShares Core MSCI China ETF HKD,Hong Kong,10461370851.67,5353890.67882114
2668.HK,Pak Tak International Ltd,Hong Kong,1497600000.0,654932.414634146
CNAO.SI,China Aviation Oil (Singapore) Corporation Ltd,Singapore,792558019.62,419576.302
BHK.N,BlackRock Core Bond Trust,United States of America,565492049.94,324364.284581673
AAP.N,Advance Auto Parts Inc,United States of America,4457596241.38,41416902.0888845
INCr.AT,Intrakat Technical and Energy Projects SA,Greece,865791755.237867,1463629.31429839
AYI.N,Acuity Brands Inc,United States of America,8077357889.44,16664840.4701992
PTT.BK,PTT PCL,Thailand,964001123437.5,1486762498.05328
8021.HK,WLS Holdings Ltd,Hong Kong,344810425.728,395566.723577236
SRG.MI,Snam SpA,Italy,14888275918.4899,28487637.8462756
7846.T,Pilot Corp,Japan,181056352000.0,439684554.285714
8178.HK,China Information Technology Development Ltd,Hong Kong,92030203.13,756578.776504065
WNEB.OQ,Western New England Bancorp Inc,United States of America,141086601.5,105506.204940239
AEONTS.BK,Aeon Thana Sinsap Thailand PCL,Thailand,40750000000.0,37964266.8032787
PRU.N,Prudential Financial Inc,United States of America,41891710000.0,58317636.8594422
4307.T,Nomura Research Institute Ltd,Japan,2354550677194.0,5880056829.79592
BGP.NZ,Briscoe Group Ltd,New Zealand,982503952.92,78743.83888
DEHr.AT,Public Power Corporation SA,Greece,4334721157.34469,5318450.70546371
AC.MX,Arca Continental SAB de CV,Mexico,295905570924.32,267305843.267371
AGI.AX,Ainsworth Game Technology Ltd,Australia,323322171.84,77545.124229249
JUVE.MI,Juventus FC SpA,Italy,715568580.99637,2274604.86474349
7518.T,Net One Systems Co Ltd,Japan,237794060700.0,1785413315.5102
PCN.N,Pimco Corporate & Income Strategy Fund,United States of America,672486000.0,505580.687589642
CEY.L,Centamin PLC,Jersey,1443225789.885,416915183.425681
AIR.NZ,Air New Zealand Ltd,New Zealand,1869497643.21,1148104.32518812
0612.HK,Ding Yi Feng Holdings Group International Ltd,Hong Kong,562116164.4,3212226.8049187
AMANAH.BK,Amanah Leasing PCL,Thailand,2013014150.7,5010560.54005123
8186.HK,Almana Ltd,Hong Kong,135503681.6,491413.926779675
4337.T,Pia Corp,Japan,47315274325.0,46496071.4285714
GETIb.ST,Getinge AB,Sweden,59369419893.7352,166740292.675794
EP_pc.N,El Paso Energy Capital Trust I,United States of America,204667976.64,42725.749576494
NEOE3.SA,Neoenergia SA,Brazil,23547666611.2,29576044.2554851
KLBN4.SA,Klabin SA,Brazil,26618430762.4,8846924.1562018
MGX.AX,Mount Gibson Iron Ltd,Australia,528474423.855,607930.090098814
GIL.HM,BinhThanh Import Export Production and Trade JSC,Vietnam,2348476045300.0,28478589156.6265
8137.HK,Honbridge Holdings Ltd,Hong Kong,2660724073.62,499305.845813008
FR.TO,First Majestic Silver Corp,Canada,2802551938.4,5413812.11171314
TCL.AX,Transurban Group,Australia,39703534100.52,64436319.742411
1308.T,Nikko Listed IDX Fund TOPIX,Japan,10885027179596.0,1574102793.06122
8309.T,Sumitomo Mitsui Trust Holdings Inc,Japan,2341414202880.0,7598745537.55102
IPO.TO,InPlay Oil Corp,Canada,216847990.38,350228.244143426
ZILGn.DE,Elringklinger AG,Germany,373823941.0,362939.615588235
0746.HK,Lee & Man Chemical Co Ltd,Hong Kong,3060750000.0,378908.755894309
JCGI.L,JPMorgan China Growth & Income PLC,United Kingdom,204811147.893833,46253647.0011673
4343.T,Aeon Fantasy Co Ltd,Japan,44172937850.0,299935088.163265
IGO.AX,IGO Ltd,Australia,6012706435.22,45532265.9878152
DORO.ST,Doro AB,Sweden,512685248.457687,849590.399801587
IAG.AX,Insurance Australia Group Ltd,Australia,15115513236.39,37782060.7673518
RLSE.SI,Raffles Education Ltd,Singapore,65864104.74,92183.4204
4917.T,Mandom Corp,Japan,65066897776.0,256349228.979592
ALA.AX,Arovella Therapeutics Ltd,Australia,131269529.5,218189.394768775
SHN.AX,Sunshine Metals Ltd,Australia,24480168.88,139143.997448617
AFB.N,Alliancebernstein National Municipal Income Fund Inc,United States of America,311595106.24,172334.047018725
CDR.WA,CD Projekt SA,Poland,13140936411.5058,47424425.2561753
NRT.N,North European Oil Royalty Trust,United States of America,72421849.2,160362.525853785
XIL.PA,Xilam Animation SA,France,28909084.095,76295.838862745
1126.HK,Dream International Ltd,Hong Kong,3188034150.0,1223517.61382114
ALLHC.PS,AyalaLand Logistics Holdings Corp,Philippines,12351120294.52,2653095.3909465
GRR.AX,Grange Resources Ltd,Australia,486082253.16,982480.878438734
CCOI.OQ,Cogent Communications Holdings Inc,United States of America,3109017442.0,9839963.66549802
CCRO3.SA,CCR SA,Brazil,25714600000.0,99023497.9186948
GME.N,GameStop Corp,United States of America,4874466027.84,14989420.7804383
4826.T,Computer Institute of Japan Ltd,Japan,30727212480.0,83533719.7738907
9058.T,Trancom Co Ltd,Japan,56369859000.0,102602363.265306
4345.T,CTS Co Ltd,Japan,32159400000.0,44740724.0816327
1164.HK,CGN Mining Co Ltd,Hong Kong,17709590562.85,38200879.7849187
5726.T,Osaka Titanium Technologies Co Ltd,Japan,92478400000.0,3033913242.04082
4347.T,Broadmedia Corp,Japan,11025221676.0,117541948.979592
CPIJ.J,Capitec Bank Holdings Ltd,South Africa,265406297512.454,50144306874.608
6737.T,Eizo Corp,Japan,114741655200.0,251763000.0
BNE.TO,Bonterra Energy Corp,Canada,208683860.0,378546.515298805
9347.T,Nippon Kanzai Holdings Co Ltd,Japan,106204009174.0,121392348.979592
SLGOMXH25.HE,Seligson & Co OMX Helsinki 25 ETF,Finland,408620576.997721,868222.776785715
STXFINJ.J,Satrix FINI ETF,South Africa,1221430523.90911,192253196.192
STXINDJ.J,Satrix Capped INDI ETF,South Africa,2172185027.78484,159666957.308
4348.T,Infocom Corp,Japan,171705600000.0,268154684.489796
8473.T,SBI Holdings Inc,Japan,1141445360267.0,6459415357.7551
JII.L,JPMorgan Indian Investment Trust PLC,United Kingdom,683133602.19634,77362180.5875486
ONB.OQ,Old National Bancorp,United States of America,5546905690.0,12339962.7123904
6736.T,Sun Corp,Japan,85227434400.0,88361202.8571429
AW_u.TO,A and W Revenue Royalties Income Fund,Canada,431590064.07,396889.86436255
SLF.AX,Spdr S&P/Asx 200 Listed Property Fund,Australia,516600012.6,776590.843359684
JAGIJ.L,Jpmorgan Asia Growth & Income PLC,United Kingdom,309467134.92,58892071.1789883
IEM.L,Impax Environmental Markets PLC,United Kingdom,1058854930.805,238441595.484436
TKM1T.TL,TKM Grupp AS,Estonia,395739916.474679,101682.200711463
RQI.N,Cohen & Steers Quality Income Realty Fund Inc,United States of America,1504287824.79,892967.962111554
GBGP.L,GB Group PLC,United Kingdom,795690787.5,205918626.983658
TNP.N,Tsakos Energy Navigation Ltd,Greece,814649698.83,2005754.78755063
9982.T,Takihyo Co Ltd,Japan,11132100000.0,35244464.8979592
EGIE3.SA,ENGIE Brasil Energia SA,Brazil,35574449464.0,67505561.0662955
2613.T,J-Oil Mills Inc,Japan,66480756864.0,126622205.306122
2730.T,EDION Corp,Japan,177752944332.0,521538865.306122
SLI.V,Standard Lithium Ltd,Canada,314408998.54,419081.092350598
1161.HK,Water Oasis Group Ltd,Hong Kong,905135176.12,405990.361138211
SWOR.PA,Sword Group SE,Luxembourg,345276793.585664,239950.420980392
ABG.N,Asbury Automotive Group Inc,United States of America,4471983220.53,12720414.3526295
8953.T,Japan Metropolitan Fund Investment Corp,Japan,661168008600.0,1895798808.16327
8766.T,Tokio Marine Holdings Inc,Japan,9963186000000.0,18747802692.2449
9994.T,Yamaya Corp,Japan,33791115050.0,33623340.4081633
ARG.TO,Amerigo Resources Ltd,Canada,287794197.36,217709.071075697
BIO.N,Bio Rad Laboratories Inc,United States of America,9076757407.66,18222761.2369323
6428.T,Oizumi Corp,Japan,8707500000.0,26883777.9591837
COE.AX,Cooper Energy Ltd,Australia,594008601.525,852786.791086956
4994.T,Taisei Lamick Co Ltd,Japan,20085375000.0,22933165.3061224
JPNEUA.DE,UBS LFS MSCI Japan UCITS ETF (JPY) A-dis,Luxembourg,1176641212.75032,108038.569980392
2818.T,Pietro Co Ltd,Japan,12676702850.0,11761668.5714286
7606.T,United Arrows Ltd,Japan,55472309136.0,462772006.938776
IUSA.L,iShares Core S&P 500 UCITS ETF USD (Dist),Ireland; Republic of,13333120515.0,346249897.450389
7554.T,Kourakuen Holdings Corp,Japan,22258341116.0,74632780.0
1766.T,Token Corp,Japan,147383680000.0,307746865.306122
4801.T,Central Sports Co Ltd,Japan,27977772000.0,45040976.7346939
8798.T,Advance Create Co Ltd,Japan,23098572800.0,44377537.9591837
WEA.N,Western Asset Premier Bond Fund,United States of America,128623104.0,93396.6719760956
SACJ.J,SA Corporate Real Estate Ltd,South Africa,6377909723.11165,719264323.568
CNI.AX,Centuria Capital Group,Australia,1408970890.35,2058430.42853755
NVG.N,Nuveen AMT-Free Municipal Credit Income Fund,United States of America,2562268344.0,1305068.68633466
SNVJ.J,Santova Ltd,South Africa,954974571.014653,78015827.072
4356.T,Applied Technology Co Ltd,Japan,9032544000.0,11567282.8571429
FDPF.L,FD Technologies PLC,United Kingdom,369090194.4,136124182.894942
2300.T,Kyokuto Co Ltd,Japan,2825576070.0,8034533.06122449
0223.HK,Elife Holdings Ltd,Hong Kong,276892079.73,744005.705284553
1311.T,Nomura NF TOPIX Core 30 ETF,Japan,9017865977.0,20778085.3469388
1615.T,Nomura NF TOPIX Banks ETF,Japan,159366167860.2,1175858688.16327
LUN.TO,Lundin Mining Corp,Canada,12295142203.35,26521588.2207968
BAFS.BK,Bangkok Aviation Fuel Services PCL,Thailand,14726161134.3,8942821.84426229
7UP.BK,Seven Utilities and Power PCL,Thailand,1748644416.76,10916361.6721311
2734.T,Sala Corp,Japan,52700835306.0,88240783.6734694
PHIL.PK,Philux Global Group Inc,United States of America,23075244.593,41955.8240183267
HRZ.BB,Rodna Zemya Holding AD,Bulgaria,169189218.055327,184508.903467742
CARAC.OL,Carasent ASA,Norway,1345956815.1185,1479572.15427686
OVV.N,Ovintiv Inc,United States of America,13692429863.31,48693800.7660159
CLA.AX,Celsius Resources Ltd,Australia,24279127.43,86781.4934644269
ORP.PA,Orpea SA,France,2215808922.47097,2616402.4738278
4310.T,Dream Incubator Inc,Japan,25126705100.0,133374965.714286
STTF.SI,SPDR Straits Times Index ETF,Singapore,1539973750.0,1826216.74146
6420.T,Fukushima Galilei Co Ltd,Japan,135486222400.0,178325432.653061
EOS.AX,Electro Optic Systems Holdings Ltd,Australia,291357669.49,706395.648043479
SCHWAGER.SN,Schwager Energy SA,Chile,17803235466.646,67400794.003101
REL.L,RELX PLC,United Kingdom,64367041464.56,9639896221.17899
HLO.AX,Helloworld Travel Ltd,Australia,399229462.56,1227206.46150198
ACSO.L,accesso Technology Group PLC,United Kingdom,291867373.0,33244071.7315175
RRL.AX,Regis Resources Ltd,Australia,1586211496.8,7723341.15745059
2735.T,Watts Co Ltd,Japan,9232736800.0,30667335.5102041
III.TO,Imperial Metals Corp,Canada,427340340.24,80749.2779681275
WCN.TO,Waste Connections Inc,Canada,58619834837.67,48020235.5853785
FOX.TA,Fox Wizel Ltd,Israel,4225559814.0,533432471.08
HSTR.V,Heliostar Metals Ltd,Canada,48837427.7,72887.0107868526
PHT.N,Pioneer High Income Fund Inc,United States of America,220649095.2,131659.716155379
ANN.AX,Ansell Ltd,Australia,3582190952.16,7706600.42039526
STEW.N,SRH Total Return Fund Inc,United States of America,1414250204.54,198646.546448606
JAM.L,JPMorgan American Investment Trust PLC,United Kingdom,1805368753.86978,241787629.735409
CWBK.PK,CW Bancorp,United States of America,96116410.5,67269.5893625498
0856.HK,VSTECS Holdings Ltd,Hong Kong,7371245689.74,10695456.3881301
RF.N,Regions Financial Corp,United States of America,18121320000.0,43894705.5798805
HPQ.N,HP Inc,United States of America,28872748872.96,74037363.7043824
SAPR4.SA,Companhia de Saneamento do Parana Sanepar,Brazil,8140360366.44,9536266.30761554
GMD.HM,Gemadept Corp,Vietnam,26174050475100.0,87403312410.1072
2715.T,Elematec Corp,Japan,81352411158.0,191625978.77551
8954.T,Orix JREIT Inc,Japan,465336000000.0,1154955790.61224
POS.AX,Poseidon Nickel Ltd,Australia,18567673.88,119392.880059289
2304.T,CSS Holdings Ltd,Japan,4223194400.0,37044295.5102041
ALFA.ST,Alfa Laval AB,Sweden,198419742041.641,237981786.984127
2303.T,Dawn Corp,Japan,6336000000.0,22262303.2653061
ALUA.BA,Aluar Aluminio Argentino SAIC,Argentina,2406530039750.14,873660386.177595
8955.T,Japan Prime Realty Investment Corp,Japan,344026410000.0,713396514.285714
2305.T,Studio Alice Co Ltd,Japan,34989983400.0,94831977.9591837
JUSC.L,JPmorgan US Smaller Companies Investment Trust PLC,United Kingdom,252395912.932092,35670864.959144
MLXS.BR,Melexis NV,Belgium,3306887472.20609,2854570.57313726
DLCG.TO,Dominion Lending Centres Inc,Canada,154493513.88,62794.5139840637
SBKJ.J,Standard Bank Group Ltd,South Africa,310292841535.197,56683707455.964
BDO.PS,BDO Unibank Inc,Philippines,747107230045.8,413549556.786008
REH.AX,Reece Ltd,Australia,17893761813.7,9231357.55324111
MAJOR.BK,Major Cineplex Group PCL,Thailand,13062145529.2,44647155.942623
ECK.L,Eckoh PLC,United Kingdom,123516840.812073,14309016.0863813
2307.T,Cross Cat Co Ltd,Japan,23535852816.0,97618307.3469388
SOFF.OL,Solstad Offshore ASA,Norway,3972875599.16805,24673882.1898645
BAMI.MI,Banco BPM SpA,Italy,9439711097.50631,69995702.2677165
ITRK.L,Intertek Group PLC,United Kingdom,8190701195.25,1478716822.54475
7607.T,Shinwa Co Ltd,Japan,40564707666.0,96606180.8163265
2737.T,Tomen Devices Corp,Japan,45573400000.0,144636644.897959
EKF.L,EKF Diagnostics Holdings PLC,United Kingdom,130759368.407523,13646440.1365759
KEG_u.TO,KEG Royalties Income Fund,Canada,166896450.0,127124.936178512
HLAN.PK,Heartland Banccorp,United States of America,181361250.0,49221.6893270916
WG.L,John Wood Group PLC,United Kingdom,1334558142.801,331146144.435798
FLTRF.L,Flutter Entertainment PLC,Ireland; Republic of,28532465739.4055,9233499891.43969
LSG.OL,Leroy Seafood Group ASA,Norway,29387272948.7373,34162762.7584462
COL.MC,Inmobiliaria Colonial SOCIMI SA,Spain,3134523270.29204,5947646.28745233
NPO.N,Enpro Inc,United States of America,3084450723.76,4698548.1849004
BSL.AX,BlueScope Steel Ltd,Australia,9851242487.23,31590351.7709091
SJM.N,J M Smucker Co,United States of America,11997837150.0,54099057.602749
AAON.OQ,Aaon Inc,United States of America,6329292544.19,14052697.9880019
AAPL.OQ,Apple Inc,United States of America,2802150144680.0,3116890382.75605
ABCB.OQ,Ameris Bancorp,United States of America,3425037965.72,7410452.34848605
ARCB.OQ,ArcBest Corp,United States of America,2680345413.99,14650009.7174104
ACGL.OQ,Arch Capital Group Ltd,Bermuda,37128429000.0,63669805.8428685
ACLS.OQ,Axcelis Technologies Inc,United States of America,3626072227.08,31028545.8827091
RAMP.N,Liveramp Holdings Inc,United States of America,2135087162.06,6089467.60015936
ADBE.OQ,Adobe Inc,United States of America,218668800000.0,580436066.483546
ADSK.OQ,Autodesk Inc,United States of America,45767183783.75,129762977.616414
ADTN.OQ,ADTRAN Holdings Inc,United States of America,432767446.45,2481261.98069721
AEHR.OQ,Aehr Test Systems,United States of America,325290701.25,10197149.9592829
AEIS.OQ,Advanced Energy Industries Inc,United States of America,3803050976.2,9823243.66808765
AEO.N,American Eagle Outfitters Inc,United States of America,4708097793.12,20725502.0221514
AGEN.OQ,Agenus Inc,United States of America,240861523.67,1635431.94313944
PZC.L,PZ Cussons PLC,United Kingdom,438156909.12,83351512.3591439
AIRT.OQ,Air T Inc,United States of America,67067150.08,52098.2452988048
AKAM.OQ,Akamai Technologies Inc,United States of America,15452856404.16,67583964.1671115
ALCO.OQ,Alico Inc,United States of America,206675255.28,303608.949780876
MATX.N,Matson Inc,United States of America,3821024549.99,8587676.00585657
ALGN.OQ,Align Technology Inc,United States of America,20600833647.55,92569536.8381873
ALKS.OQ,Alkermes Plc,Ireland; Republic of,4078233595.1,21652264.5913944
ALOT.OQ,AstroNova Inc,United States of America,131977756.88,55987.9169920319
AMAT.OQ,Applied Materials Inc,United States of America,172294875740.16,377854265.8751
AMED.OQ,Amedisys Inc,United States of America,3074240776.32,10977086.9055378
AMGN.OQ,Amgen Inc,United States of America,164851745198.52,287995401.106295
AMKR.OQ,Amkor Technology Inc,United States of America,8010379967.54,12004927.9731872
AMRN.OQ,Amarin Corporation PLC,Ireland; Republic of,354538565.8511,296904.757799602
AMSC.OQ,American Superconductor Corp,United States of America,490370228.79,2977700.20336653
AMSWA.OQ,American Software Inc,United States of America,333197893.87,917188.153924303
AMWD.OQ,American Woodmark Corp,United States of America,1476307253.19,4052337.592749
AMZN.OQ,Amazon.com Inc,United States of America,1956445954020.0,1894808522.51153
ANDE.OQ,Andersons Inc,United States of America,1751861335.35,4637691.88721116
ANIK.OQ,Anika Therapeutics Inc,United States of America,422166142.32,1056968.6526494
HCKT.OQ,Hackett Group Inc,United States of America,594742625.4,1054538.73884462
ANSS.OQ,ANSYS Inc,United States of America,28543601787.76,73068660.4225897
CLFD.OQ,Clearfield Inc,United States of America,503288886.88,2999009.57434263
APOG.OQ,Apogee Enterprises Inc,United States of America,1456706515.64,3067983.52944223
BITTI.HE,Bittium Oyj,Finland,227929839.059087,85453.7337896825
INTRUM.ST,Intrum AB,Sweden,3448353606.94,66117484.2805754
ENOR.MC,Elecnor SA,Spain,1793375453.19657,520292.503960784
DSV.CO,DSV A/S,Denmark,217959000000.0,410676115.522709
FABG.ST,Fabege AB,Sweden,30043981116.8854,62537630.6642063
BPT.AX,Beach Energy Ltd,Australia,3707167191.0,11584775.4627075
THRM.OQ,Gentherm Inc,United States of America,1631929246.38,4198281.63025896
ARLP.OQ,Alliance Resource Partners LP,United States of America,2874351163.545,1915243.27888446
AROW.OQ,Arrow Financial Corp,United States of America,399282901.68,487636.580230943
ARTNA.OQ,Artesian Resources Corp,United States of America,391577372.46,764382.927191234
ASB.N,Associated Banc-Corp,United States of America,3375666345.83,9905532.88187251
ASGN.N,ASGN Inc,United States of America,4569804000.0,8092879.37856574
ASTE.OQ,Astec Industries Inc,United States of America,769240433.12,2213687.43673307
VCEL.OQ,Vericel Corp,United States of America,2307264042.02,6775406.24055777
ASYS.OQ,Amtech Systems Inc,United States of America,70387245.92,84392.1754780877
GHI.N,Greystone Housing Impact Investors LP,United States of America,347417626.93,81515.6914745922
ATRI.OQ,Atrion Corp,United States of America,721897931.72,1753257.64920319
ATRO.OQ,Astronics Corp,United States of America,638320988.34,982359.841075697
AUDC.OQ,AudioCodes Ltd,Israel,298424421.88,463890.385059761
CLDX.OQ,Celldex Therapeutics Inc,United States of America,2716173683.08,9211818.34310757
SRPT.OQ,Sarepta Therapeutics Inc,United States of America,12531960896.28,46054770.7845219
AXTI.OQ,AXT Inc,United States of America,167258377.44,625819.79934263
TECH.OL,Techstep ASA,Norway,309499963.252167,928634.698908366
AZTA.OQ,Azenta Inc,United States of America,3015220849.45,15535607.0457769
BSET.OQ,Bassett Furniture Industries Inc,United States of America,124838539.14,89133.1120517928
BSRR.OQ,Sierra Bancorp,United States of America,318681684.48,264827.286215139
BUSE.OQ,First Busey Corp,United States of America,1331328589.02,1726150.19314741
CAKE.OQ,Cheesecake Factory Inc,United States of America,1733716529.15,10889291.7254781
BMRC.OQ,Bank of Marin Bancorp,United States of America,260084002.42,618422.47812749
BMRN.OQ,Biomarin Pharmaceutical Inc,United States of America,15537864279.49,48121467.3253586
BOKF.OQ,BOK Financial Corp,United States of America,6016672164.1,6453035.23209163
BOOM.OQ,DMC Global Inc,United States of America,268958716.04,1757026.2725498
BANF.OQ,BancFirst Corp,United States of America,3029967374.98,3422810.02631474
BANR.OQ,Banner Corp,United States of America,1605224964.07,4256291.09099602
NOTV.OQ,Inotiv Inc,United States of America,122505730.0,593726.984063745
BBSI.OQ,Barrett Business Services Inc,United States of America,810855986.05,1432592.25557769
BCRX.OQ,BioCryst Pharmaceuticals Inc,United States of America,1052286075.3,6535158.79414343
BRKR.OQ,Bruker Corp,United States of America,10711166726.7,24475915.173008
BELFA.OQ,Bel Fuse Inc,United States of America,801797550.95,157995.533446215
2311.T,EPCO Co Ltd,Japan,7732280000.0,25958873.877551
CATO.N,Cato Corp,United States of America,105079904.02,170240.709721116
TVE.TO,Tamarack Valley Energy Ltd,Canada,2060541615.0,8259228.40079681
SIAG.VI,S Immo AG,Austria,1277951968.71121,141819.696417323
CALM.OQ,Cal-Maine Foods Inc,United States of America,2813819145.88,14043096.7437649
CAMT.OQ,Camtek Ltd,Israel,3807605697.61,7286372.76063746
CASH.OQ,Pathward Financial Inc,United States of America,1376246942.25,3923884.61798805
CASS.OQ,Cass Information Systems Inc,United States of America,608370710.22,862342.779960159
CASY.OQ,Caseys General Stores Inc,United States of America,12137934961.5,27263116.5131872
CATY.OQ,Cathay General Bancorp,United States of America,2701820059.47,6751099.72900399
CBAN.OQ,Colony Bankcorp Inc,United States of America,198236718.19,226827.560697211
CBZ.N,CBIZ Inc,United States of America,3784969783.14,5235941.11095618
CBRL.OQ,Cracker Barrel Old Country Store Inc,United States of America,1196860546.26,16722490.4554582
CBSH.OQ,Commerce Bancshares Inc,United States of America,7316072724.46,11967510.7422707
CCBG.OQ,Capital City Bank Group Inc,United States of America,470174854.5,422720.419561753
CCNE.OQ,CNB Financial Corp,United States of America,416920824.8,490691.428406375
CCRN.OQ,Cross Country Healthcare Inc,United States of America,572728735.26,4309506.34946215
ATLC.OQ,Atlanticus Holdings Corp,United States of America,417309847.49,210742.072549801
HLX.N,Helix Energy Solutions Group Inc,United States of America,1762356680.0,5584240.06243028
CECO.OQ,CECO Environmental Corp,United States of America,853823962.16,1946510.56250996
PRDO.OQ,Perdoceo Education Corp,United States of America,1567902833.1,3357333.60378486
CENT.OQ,Central Garden & Pet Co,United States of America,2491459815.78,1379647.4729821
CENX.OQ,Century Aluminum Co,United States of America,1562930345.7,4777380.84428287
CERS.OQ,Cerus Corp,United States of America,347593333.48,706990.84998008
CFFI.OQ,C&F Financial Corp,United States of America,141889536.18,232686.140478088
CFFN.OQ,Capitol Federal Financial Inc,United States of America,672713279.55,2138307.49912351
CGEN.OQ,Compugen Ltd,Israel,190699311.09,260698.52514263
CGNX.OQ,Cognex Corp,United States of America,7951386433.92,20326986.6748606
CHCO.OQ,City Holding Co,United States of America,1566520567.74,3260928.26270916
CHDN.OQ,Churchill Downs Inc,United States of America,10224536875.8,18176257.7739044
BJRI.OQ,BJ's Restaurants Inc,United States of America,778657862.7,4703600.21858566
CHKP.OQ,Check Point Software Technologies Ltd,Israel,17492592735.11,43368898.8297809
CHRW.OQ,CH Robinson Worldwide Inc,United States of America,9481160126.16,46734394.7723904
CIEN.N,Ciena Corp,United States of America,7115898473.32,24205348.8111952
SINT.ST,SinterCast AB,Sweden,861956663.537122,542931.786111111
IWM.P,iShares Russell 2000 ETF,United States of America,61001543000.0,1075766698.01386
CINF.OQ,Cincinnati Financial Corp,United States of America,18386219787.84,35257797.6669323
CLH.N,Clean Harbors Inc,United States of America,11334466308.6,16659985.1154183
CMCO.OQ,Columbus McKinnon Corp,United States of America,1262674993.98,1780492.27940239
CMCSA.OQ,Comcast Corp,United States of America,153217597174.4,307815059.556454
CMTL.OQ,Comtech Telecommunications Corp,United States of America,52391832.48,956031.639760956
CNOB.OQ,ConnectOne Bancorp Inc,United States of America,762444424.17,1541050.91472112
CNMD.N,Conmed Corp,United States of America,2137571841.8,13172516.0417131
CNC.N,Centene Corp,United States of America,40477807600.0,74672273.6356574
CNTY.OQ,Century Casinos Inc,United States of America,96343373.42,179924.966613546
COHU.OQ,Cohu Inc,United States of America,1371611480.49,4157725.04705179
COKE.OQ,Coca-Cola Consolidated Inc,United States of America,8856355104.09,11821426.8158235
COLB.OQ,Columbia Banking System Inc,United States of America,4234363330.47,16570766.614502
COLM.OQ,Columbia Sportswear Co,United States of America,4844031777.9,14155309.5752191
COST.OQ,Costco Wholesale Corp,United States of America,338575416122.76,424964941.831359
CPRT.OQ,Copart Inc,United States of America,53034234542.8,87424741.1538645
TBRG.OQ,TruBridge Inc,United States of America,121179946.12,992251.406513944
CPSS.OQ,Consumer Portfolio Services Inc,United States of America,182562491.52,97185.9638645418
CRAI.OQ,CRA International Inc,United States of America,1118252681.7,1496466.05729084
WOLF.N,Wolfspeed Inc,United States of America,3067081939.03,35887070.6121913
